trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;1;;;;;;;;;;;-1;SP;2000;1500;2000;2000;;;;
;1;1;0;0;0;683;683;0;0;0;;-1;SP;1000;2000;2000;2000;;;;
;1;2;2;0;0;1068;1068;1724;0;0;0;-1;AC;2000;500;2000;1500;;;;
;1;2;0;0;0;994;994;0;0;0;0;-1;SP;2000;1500;2000;1500;;;;
;1;1;0;0;0;1352;1352;0;0;0;1;-1;AC;1000;2000;2000;1000;;;;
;2;1;0;0;0;722;722;0;0;0;1;1;SP;1500;500;2000;1000;;;;
;2;2;0;0;0;724;724;0;0;0;1;1;AC;2000;2000;2000;1000;;;;
;2;2;0;0;0;1214;1214;0;0;0;1;1;AC;2000;1000;2000;500;;;;
;2;2;0;0;0;552;552;0;0;0;1;1;SP;1500;1000;2000;500;;;;
;1;2;0;0;0;922;922;0;0;0;1;-1;SP;2000;500;2000;500;;;;
;2;2;0;0;0;325;325;0;0;0;1;1;SP;1000;1000;2000;1500;;;;
;1;2;0;0;0;753;753;0;0;0;0;-1;AC;2000;500;2000;2000;;;;
;2;2;0;0;0;1652;1652;0;0;0;1;1;AC;2000;1500;2000;2000;;;;
;2;2;0;0;0;405;405;0;0;0;1;1;SP;1000;2000;2000;500;;;;
;1;1;0;0;0;854;854;0;0;0;1;-1;SP;1000;500;2000;500;;;;
;2;1;0;0;0;840;840;0;0;0;0;1;AC;2000;500;2000;2000;;;;
;1;2;0;0;0;410;410;0;0;0;0;-1;SP;1000;1500;2000;2000;;;;
;2;2;0;0;0;1500;1500;0;0;0;1;1;AC;1000;1500;2000;1500;;;;
;1;1;0;0;0;610;610;0;0;0;1;-1;SP;1000;2000;2000;2000;;;;
;2;2;0;0;0;1006;1006;0;0;0;1;1;AC;2000;1500;2000;2000;;;;
;1;2;0;0;0;537;537;0;0;0;1;-1;SP;500;2000;2000;1500;;;;
;1;2;0;0;0;581;581;0;0;0;1;-1;SP;1500;1000;2000;1000;;;;
;1;2;0;0;0;567;567;0;0;0;0;-1;AC;1000;1000;2000;1500;;;;
;1;1;0;0;0;540;540;0;0;0;1;-1;AC;1500;1500;2000;2000;;;;
;1;1;0;0;0;1167;1167;0;0;0;1;-1;AC;2000;2000;2000;2000;;;;
;1;1;0;0;0;785;785;0;0;0;1;-1;SP;1500;1500;2000;2000;;;;
;2;2;0;0;0;284;284;0;0;0;1;1;SP;2000;2000;2000;500;;;;
;1;1;2;1;0;513;513;593;1529;0;1;-1;SP;1000;2000;2000;1500;;;;
;1;1;0;0;0;1795;1795;0;0;0;1;-1;AC;1500;1000;2000;1500;;;;
;2;1;0;0;0;406;406;0;0;0;1;1;SP;1000;2000;2000;500;;;;
;1;2;0;0;0;593;593;0;0;0;1;-1;SP;2000;1500;2000;2000;;;;
;2;2;0;0;0;548;548;0;0;0;1;1;AC;500;2000;2000;2000;;;;
;2;2;0;0;0;550;550;0;0;0;1;1;SP;500;500;2000;2000;;;;
;1;2;0;0;0;546;546;0;0;0;0;-1;AC;500;1500;2000;500;;;;
;2;1;0;0;0;724;724;0;0;0;0;1;SP;1500;500;2000;500;;;;
;2;2;0;0;0;637;637;0;0;0;1;1;AC;1000;1500;2000;1500;;;;
;2;1;0;0;0;1298;1298;0;0;0;0;1;AC;1500;500;2000;1500;;;;
;2;2;0;0;0;1622;1622;0;0;0;1;1;AC;2000;2000;2000;1000;;;;
;2;2;0;0;0;1022;1022;0;0;0;1;1;AC;1000;2000;2000;2000;;;;
;1;2;0;0;0;912;912;0;0;0;0;-1;AC;500;2000;2000;2000;;;;
;2;2;0;0;0;664;664;0;0;0;0;1;SP;1500;1500;2000;2000;;;;
;2;2;0;0;0;716;716;0;0;0;0;1;SP;2000;1500;2000;2000;;;;
;2;2;0;0;0;509;509;0;0;0;0;1;SP;1000;500;2000;1500;;;;
;1;2;0;0;0;1108;1108;0;0;0;0;-1;AC;1000;2000;2000;1500;;;;
;2;2;0;0;0;447;447;0;0;0;0;1;SP;1000;1000;2000;1500;;;;
;1;1;0;0;0;513;513;0;0;0;0;-1;SP;500;1000;2000;2000;;;;
;2;2;0;0;0;690;690;0;0;0;1;1;AC;500;1000;2000;2000;;;;
;2;2;0;0;0;485;485;0;0;0;1;1;AC;2000;2000;2000;1500;;;;
;2;2;0;0;0;730;730;0;0;0;1;1;SP;2000;2000;2000;500;;;;
;2;2;1;0;0;1605;1605;1692;0;0;1;1;AC;1500;500;2000;500;;;;
;1;2;1;0;0;1605;1605;1692;0;0;1;-1;AC;2000;500;2000;1500;;;;
;1;1;0;0;0;1017;1017;0;0;0;1;-1;SP;500;2000;2000;500;;;;
;2;1;0;0;0;1062;1062;0;0;0;0;1;AC;1000;2000;2000;1000;;;;
;2;2;0;0;0;785;785;0;0;0;1;1;AC;1000;2000;2000;1000;;;;
;1;1;0;0;0;1011;1011;0;0;0;1;-1;SP;1500;500;2000;1000;;;;
;1;1;0;0;0;1054;1054;0;0;0;1;-1;AC;1500;1500;2000;1000;;;;
;2;2;0;0;0;496;496;0;0;0;1;1;SP;1000;1000;2000;1000;;;;
;2;2;0;0;0;1296;1296;0;0;0;1;1;AC;500;500;2000;500;;;;
;1;2;0;0;0;586;586;0;0;0;0;-1;AC;1500;1000;2000;1000;;;;
;2;1;0;0;0;580;580;0;0;0;0;1;SP;2000;2000;2000;500;;;;
;2;2;0;0;0;684;684;0;0;0;1;1;AC;1000;500;2000;1500;;;;
;1;2;0;0;0;537;537;0;0;0;1;-1;SP;1500;1500;2000;500;;;;
;1;2;0;0;0;533;533;0;0;0;1;-1;SP;1500;2000;2000;2000;;;;
;2;2;0;0;0;616;616;0;0;0;1;1;AC;2000;500;2000;1000;;;;
;2;2;0;0;0;550;550;0;0;0;1;1;AC;500;500;2000;1000;;;;
;1;2;0;0;0;674;674;0;0;0;0;-1;AC;1500;500;2000;1000;;;;
;2;2;0;0;0;699;699;0;0;0;0;1;SP;500;2000;2000;500;;;;
;1;2;0;0;0;412;412;0;0;0;0;-1;SP;2000;500;2000;1000;;;;
;1;1;0;0;0;475;475;0;0;0;0;-1;SP;1000;500;2000;1000;;;;
;1;1;0;0;0;517;517;0;0;0;1;-1;AC;2000;2000;2000;1000;;;;
;2;2;1;0;0;500;500;932;0;0;1;1;SP;1500;1500;2000;2000;;;;
;1;1;0;0;0;1269;1269;0;0;0;1;-1;AC;500;1000;2000;2000;;;;
;2;2;0;0;0;809;809;0;0;0;1;1;SP;1000;1000;2000;1500;;;;
;2;1;0;0;0;562;562;0;0;0;0;1;AC;1000;500;2000;1500;;;;
;1;1;0;0;0;774;774;0;0;0;0;-1;SP;2000;2000;2000;500;;;;
;2;2;0;0;0;912;912;0;0;0;1;1;AC;2000;500;2000;500;;;;
;1;2;0;0;0;635;635;0;0;0;0;-1;AC;500;1500;2000;1000;;;;
;1;2;0;0;0;486;486;0;0;0;0;-1;SP;2000;1500;2000;1000;;;;
;1;2;0;0;0;709;709;0;0;0;0;-1;AC;1000;2000;2000;2000;;;;
;1;1;0;0;0;1418;1418;0;0;0;1;-1;AC;2000;1000;2000;1000;;;;
;1;2;0;0;0;784;784;0;0;0;0;-1;AC;1500;1000;2000;500;;;;
;2;2;0;0;0;906;906;0;0;0;0;1;SP;1500;1000;2000;500;;;;
;2;2;0;0;0;588;588;0;0;0;0;1;SP;2000;500;2000;2000;;;;
;2;2;0;0;0;582;582;0;0;0;0;1;SP;500;1500;2000;1000;;;;
;1;2;0;0;0;473;473;0;0;0;0;-1;SP;1500;2000;2000;1500;;;;
;1;2;0;0;0;518;518;0;0;0;0;-1;SP;500;1500;2000;2000;;;;
;2;1;0;0;0;745;745;0;0;0;0;1;SP;1500;500;2000;1500;;;;
;1;2;0;0;0;414;414;0;0;0;0;-1;SP;2000;1500;2000;500;;;;
;1;1;0;0;0;650;650;0;0;0;0;-1;SP;2000;1000;2000;2000;;;;
;2;1;0;0;0;694;694;0;0;0;0;1;AC;500;1500;2000;2000;;;;
;2;2;0;0;0;999;999;0;0;0;1;1;AC;500;1000;2000;500;;;;
;1;1;0;0;0;571;571;0;0;0;1;-1;AC;1000;2000;2000;500;;;;
;1;1;0;0;0;964;964;0;0;0;1;-1;AC;2000;1000;2000;2000;;;;
;1;2;0;0;0;782;782;0;0;0;0;-1;AC;2000;2000;2000;1500;;;;
;2;1;0;0;0;506;506;0;0;0;0;1;SP;1500;1000;2000;1500;;;;
;1;2;0;0;0;478;478;0;0;0;0;-1;AC;1000;1500;2000;500;;;;
;1;2;0;0;0;430;430;0;0;0;0;-1;SP;1000;500;2000;500;;;;
;2;2;0;0;0;1342;1342;0;0;0;0;1;SP;1000;500;2000;1000;;;;
;2;2;0;0;0;568;568;0;0;0;1;1;AC;1500;500;2000;500;;;;
;1;2;0;0;0;553;553;0;0;0;1;-1;SP;2000;500;2000;2000;;;;
;2;1;0;0;0;646;646;0;0;0;1;1;SP;1500;1500;2000;2000;;;;
;2;2;0;0;0;537;537;0;0;0;1;1;AC;2000;500;2000;1000;;;;
;2;1;0;0;0;600;600;0;0;0;0;1;AC;500;2000;2000;2000;;;;
;2;1;0;0;0;1110;1110;0;0;0;0;1;SP;1500;500;2000;2000;;;;
;1;1;0;0;0;671;671;0;0;0;0;-1;SP;500;1000;2000;1500;;;;
;2;2;0;0;0;644;644;0;0;0;0;1;SP;1500;1500;2000;2000;;;;
;2;2;0;0;0;565;565;0;0;0;1;1;AC;500;1000;2000;1500;;;;
;2;1;0;0;0;1225;1225;0;0;0;0;1;AC;1500;500;2000;1500;;;;
;1;2;0;0;0;1006;1006;0;0;0;0;-1;AC;2000;2000;2000;500;;;;
;2;1;0;0;0;609;609;0;0;0;0;1;AC;1000;1000;2000;1500;;;;
;2;2;0;0;0;715;715;0;0;0;0;1;SP;500;500;2000;1000;;;;
