trnr;stim;resp;resp2;resp3;resp4;RT;RT1;RT2;RT3;RT4;correct;movement;cue;precuedur;postcuedur;premddur;prefbdur;cueOnset;stimOnset;stimOnsetLeft;stimOnsetRight
;2;2;0;0;0;1570;1570;0;0;0;1;1;AC;1500;500;2000;1500;;;;
;2;2;0;0;0;815;815;0;0;0;1;1;SP;1000;1500;2000;1500;;;;
;2;2;0;0;0;978;978;0;0;0;1;1;SP;500;500;2000;2000;;;;
;2;1;0;0;0;1545;1545;0;0;0;0;1;AC;1500;1000;2000;500;;;;
;1;1;0;0;0;1366;1366;0;0;0;1;-1;AC;1500;500;2000;2000;;;;
;1;2;0;0;0;1120;1120;0;0;0;0;-1;AC;1000;2000;2000;500;;;;
;1;1;0;0;0;506;506;0;0;0;0;-1;SP;500;1000;2000;1500;;;;
;1;1;0;0;0;896;896;0;0;0;1;-1;AC;1000;500;2000;2000;;;;
;2;2;0;0;0;652;652;0;0;0;1;1;AC;1500;2000;2000;1000;;;;
;1;1;0;0;0;454;454;0;0;0;1;-1;SP;2000;2000;2000;500;;;;
;2;2;0;0;0;1091;1091;0;0;0;1;1;AC;500;1500;2000;500;;;;
;2;2;0;0;0;719;719;0;0;0;1;1;SP;2000;1500;2000;1500;;;;
;1;1;0;0;0;538;538;0;0;0;1;-1;SP;1500;500;2000;1500;;;;
;2;2;0;0;0;681;681;0;0;0;1;1;AC;1500;1500;2000;2000;;;;
;2;2;0;0;0;936;936;0;0;0;1;1;AC;1500;1000;2000;2000;;;;
;2;1;0;0;0;412;412;0;0;0;1;1;SP;500;1500;2000;1500;;;;
;2;2;0;0;0;708;708;0;0;0;1;1;AC;1000;2000;2000;1500;;;;
;2;2;0;0;0;614;614;0;0;0;1;1;SP;2000;1500;2000;500;;;;
;1;1;0;0;0;517;517;0;0;0;1;-1;SP;1000;1500;2000;2000;;;;
;2;2;0;0;0;535;535;0;0;0;1;1;AC;1000;2000;2000;1000;;;;
;1;2;0;0;0;1093;1093;0;0;0;0;-1;AC;500;1000;2000;1000;;;;
;1;2;0;0;0;677;677;0;0;0;0;-1;SP;500;1500;2000;2000;;;;
;2;1;0;0;0;586;586;0;0;0;0;1;AC;1000;1000;2000;1000;;;;
;2;2;0;0;0;1100;1100;0;0;0;1;1;AC;2000;500;2000;1000;;;;
;2;1;0;0;0;348;348;0;0;0;1;1;SP;500;1500;2000;2000;;;;
;1;2;0;0;0;1121;1121;0;0;0;0;-1;AC;500;500;2000;2000;;;;
;2;1;0;0;0;720;720;0;0;0;0;1;SP;2000;500;2000;1500;;;;
;1;2;0;0;0;813;813;0;0;0;0;-1;AC;2000;500;2000;1500;;;;
